Tank_1-0-14%_to_14-28%,Tank_1-14-28%_to_0-14%,Tank_1-14-28%_to_28-42%,Tank_1-28-42%_to_14-28%,Tank_1-28-42%_to_42-57%,Tank_1-42-57%_to_28-42%,Tank_1-42-57%_to_57-71%,Tank_1-57-71%_to_42-57%,Tank_1-57-71%_to_71-85%,Tank_1-71-85%_to_57-71%,Tank_1-71-85%_to_85-100%,Tank_1-85-100%_to_71-85%,Tank_1-85-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_85-100%,Tank_4-0-14%_to_14-28%,Tank_4-14-28%_to_0-14%,Tank_4-14-28%_to_28-42%,Tank_4-28-42%_to_14-28%,Tank_4-28-42%_to_42-57%,Tank_4-42-57%_to_28-42%,Tank_4-42-57%_to_57-71%,Tank_4-57-71%_to_42-57%,Tank_4-57-71%_to_71-85%,Tank_4-71-85%_to_57-71%,Tank_4-71-85%_to_85-100%,Tank_4-85-100%_to_71-85%,Tank_4-85-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_85-100%,Tank_5-0-14%_to_14-28%,Tank_5-14-28%_to_0-14%,Tank_5-14-28%_to_28-42%,Tank_5-28-42%_to_14-28%,Tank_5-28-42%_to_42-57%,Tank_5-42-57%_to_28-42%,Tank_5-42-57%_to_57-71%,Tank_5-57-71%_to_42-57%,Tank_5-57-71%_to_71-85%,Tank_5-71-85%_to_57-71%,Tank_5-71-85%_to_85-100%,Tank_5-85-100%_to_71-85%,Tank_5-85-100%_to_OVERFLOW,Tank_5-OVERFLOW_to_85-100%,Tank_6-0-14%_to_14-28%,Tank_6-14-28%_to_0-14%,Tank_6-14-28%_to_28-42%,Tank_6-28-42%_to_14-28%,Tank_6-28-42%_to_42-57%,Tank_6-42-57%_to_28-42%,Tank_6-42-57%_to_57-71%,Tank_6-57-71%_to_42-57%,Tank_6-57-71%_to_71-85%,Tank_6-71-85%_to_57-71%,Tank_6-71-85%_to_85-100%,Tank_6-85-100%_to_71-85%,Tank_6-85-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_85-100%,Tank_7-0-14%_to_14-28%,Tank_7-14-28%_to_0-14%,Tank_7-14-28%_to_28-42%,Tank_7-28-42%_to_14-28%,Tank_7-28-42%_to_42-57%,Tank_7-42-57%_to_28-42%,Tank_7-42-57%_to_57-71%,Tank_7-57-71%_to_42-57%,Tank_7-57-71%_to_71-85%,Tank_7-71-85%_to_57-71%,Tank_7-71-85%_to_85-100%,Tank_7-85-100%_to_71-85%,Tank_8-0-14%_to_14-28%,Tank_8-14-28%_to_0-14%,Tank_8-14-28%_to_28-42%,Tank_8-28-42%_to_14-28%,Tank_8-28-42%_to_42-57%,Tank_8-42-57%_to_28-42%,Tank_8-42-57%_to_57-71%,Tank_8-57-71%_to_42-57%,Tank_8-57-71%_to_71-85%,Tank_8-71-85%_to_57-71%,Tank_8-71-85%_to_85-100%,Tank_8-85-100%_to_71-85%,Tank_7-OVERFLOW_to_85-100%,Tank_8-85-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_85-100%,Tank_7-85-100%_to_OVERFLOW,Fitness,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9586206896551724,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9722222222222222,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986013986013986,N
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986206896551724,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,N
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.951048951048951,N
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9533333333333334,N
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9370629370629372,N
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.902097902097902,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.9230769230769232,N
0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,2,2,0,0,0,0,0,0.8689655172413793,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9319727891156464,N
0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9387755102040816,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9929078014184396,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0.8896551724137931,N
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0.9230769230769232,N
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.9230769230769232,N
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9517241379310344,N
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9790209790209792,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9659863945578232,N
